FL_Test | INFO flwr 2024-03-16 00:50:34,833 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
FL_Test | INFO flwr 2024-03-16 01:28:10,430 | app.py:176 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
FL_Test | INFO flwr 2024-03-16 01:28:10,430 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-03-16 01:28:10,430 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-03-16 01:32:38,760 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
FL_Test | INFO flwr 2024-03-16 01:32:38,777 | app.py:176 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
FL_Test | INFO flwr 2024-03-16 01:32:38,777 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-03-16 01:32:38,777 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-03-16 01:36:15,018 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
FL_Test | INFO flwr 2024-03-16 01:36:15,036 | app.py:176 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
FL_Test | INFO flwr 2024-03-16 01:36:15,036 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-03-16 01:36:15,036 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-03-16 01:42:24,029 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
FL_Test | INFO flwr 2024-03-16 01:42:24,034 | app.py:176 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
FL_Test | INFO flwr 2024-03-16 01:42:24,035 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-03-16 01:42:24,035 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-03-16 01:49:29,747 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
FL_Test | INFO flwr 2024-03-16 01:56:38,540 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
FL_Test | INFO flwr 2024-03-16 01:56:38,560 | app.py:176 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
FL_Test | INFO flwr 2024-03-16 01:56:38,560 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-03-16 01:56:38,560 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-03-16 01:59:19,460 | server.py:280 | Received initial parameters from one random client
FL_Test | INFO flwr 2024-03-16 01:59:19,461 | server.py:91 | Evaluating initial parameters
FL_Test | INFO flwr 2024-03-16 01:59:19,461 | server.py:104 | FL starting
FL_Test | INFO flwr 2024-03-16 23:04:29,550 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2024-03-16 23:04:29,573 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2024-03-16 23:04:29,573 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-03-16 23:04:29,573 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-03-16 23:08:01,495 | server.py:280 | Received initial parameters from one random client
FL_Test | INFO flwr 2024-03-16 23:08:01,495 | server.py:91 | Evaluating initial parameters
FL_Test | INFO flwr 2024-03-16 23:08:01,495 | server.py:104 | FL starting
FL_Test | DEBUG flwr 2024-03-16 23:08:06,870 | server.py:222 | fit_round 1: strategy sampled 4 clients (out of 4)
FL_Test | DEBUG flwr 2024-03-16 23:08:06,893 | server.py:236 | fit_round 1 received 0 results and 4 failures
FL_Test | INFO flwr 2024-03-16 23:18:12,345 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2024-03-16 23:18:12,353 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2024-03-16 23:18:12,353 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-03-16 23:18:12,353 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-03-16 23:21:33,921 | server.py:280 | Received initial parameters from one random client
FL_Test | INFO flwr 2024-03-16 23:21:33,921 | server.py:91 | Evaluating initial parameters
FL_Test | INFO flwr 2024-03-16 23:21:33,921 | server.py:104 | FL starting
FL_Test | DEBUG flwr 2024-03-16 23:21:38,212 | server.py:222 | fit_round 1: strategy sampled 4 clients (out of 4)
FL_Test | DEBUG flwr 2024-03-16 23:21:38,244 | server.py:236 | fit_round 1 received 0 results and 4 failures
FL_Test | INFO flwr 2024-03-16 23:23:49,877 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2024-03-16 23:23:49,895 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2024-03-16 23:23:49,895 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-03-16 23:23:49,895 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-03-16 23:28:08,271 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2024-03-16 23:28:08,289 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2024-03-16 23:28:08,289 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-03-16 23:28:08,289 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-03-16 23:30:48,811 | server.py:280 | Received initial parameters from one random client
FL_Test | INFO flwr 2024-03-16 23:30:48,811 | server.py:91 | Evaluating initial parameters
FL_Test | INFO flwr 2024-03-16 23:30:48,811 | server.py:104 | FL starting
FL_Test | DEBUG flwr 2024-03-16 23:30:49,190 | server.py:222 | fit_round 1: strategy sampled 4 clients (out of 4)
FL_Test | DEBUG flwr 2024-03-16 23:30:49,212 | server.py:236 | fit_round 1 received 0 results and 4 failures
FL_Test | INFO flwr 2024-03-16 23:37:58,949 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2024-03-16 23:37:58,967 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2024-03-16 23:37:58,967 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-03-16 23:37:58,967 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-03-16 23:40:39,112 | server.py:280 | Received initial parameters from one random client
FL_Test | INFO flwr 2024-03-16 23:40:39,112 | server.py:91 | Evaluating initial parameters
FL_Test | INFO flwr 2024-03-16 23:40:39,112 | server.py:104 | FL starting
FL_Test | DEBUG flwr 2024-03-16 23:40:46,273 | server.py:222 | fit_round 1: strategy sampled 4 clients (out of 4)
FL_Test | DEBUG flwr 2024-03-16 23:40:46,295 | server.py:236 | fit_round 1 received 0 results and 4 failures
FL_Test | INFO flwr 2024-03-16 23:42:45,997 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2024-03-16 23:42:46,014 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2024-03-16 23:42:46,014 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-03-16 23:42:46,014 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-03-16 23:45:19,918 | server.py:280 | Received initial parameters from one random client
FL_Test | INFO flwr 2024-03-16 23:45:19,919 | server.py:91 | Evaluating initial parameters
FL_Test | INFO flwr 2024-03-16 23:45:19,919 | server.py:104 | FL starting
FL_Test | DEBUG flwr 2024-03-16 23:46:10,639 | server.py:222 | fit_round 1: strategy sampled 4 clients (out of 4)
FL_Test | DEBUG flwr 2024-03-16 23:46:10,902 | server.py:236 | fit_round 1 received 4 results and 0 failures
FL_Test | DEBUG flwr 2024-03-16 23:46:10,903 | server.py:173 | evaluate_round 1: strategy sampled 4 clients (out of 4)
FL_Test | DEBUG flwr 2024-03-16 23:46:10,924 | server.py:187 | evaluate_round 1 received 0 results and 4 failures
FL_Test | INFO flwr 2024-03-16 23:49:29,325 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2024-03-16 23:49:29,342 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2024-03-16 23:49:29,343 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-03-16 23:49:29,343 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-03-16 23:52:06,705 | server.py:280 | Received initial parameters from one random client
FL_Test | INFO flwr 2024-03-16 23:52:06,707 | server.py:91 | Evaluating initial parameters
FL_Test | INFO flwr 2024-03-16 23:52:06,707 | server.py:104 | FL starting
FL_Test | DEBUG flwr 2024-03-16 23:52:18,593 | server.py:222 | fit_round 1: strategy sampled 4 clients (out of 4)
FL_Test | DEBUG flwr 2024-03-16 23:52:18,851 | server.py:236 | fit_round 1 received 4 results and 0 failures
FL_Test | DEBUG flwr 2024-03-16 23:52:18,851 | server.py:173 | evaluate_round 1: strategy sampled 4 clients (out of 4)
FL_Test | DEBUG flwr 2024-03-16 23:52:18,872 | server.py:187 | evaluate_round 1 received 4 results and 0 failures
FL_Test | DEBUG flwr 2024-03-16 23:52:18,872 | server.py:222 | fit_round 2: strategy sampled 4 clients (out of 4)
FL_Test | DEBUG flwr 2024-03-16 23:52:19,102 | server.py:236 | fit_round 2 received 4 results and 0 failures
FL_Test | DEBUG flwr 2024-03-16 23:52:19,102 | server.py:173 | evaluate_round 2: strategy sampled 4 clients (out of 4)
FL_Test | DEBUG flwr 2024-03-16 23:52:19,119 | server.py:187 | evaluate_round 2 received 4 results and 0 failures
FL_Test | INFO flwr 2024-03-16 23:52:19,119 | server.py:153 | FL finished in 12.412644400028512
FL_Test | INFO flwr 2024-03-16 23:52:19,119 | app.py:226 | app_fit: losses_distributed [(1, 1.917008563876152), (2, 1.8002364337444305)]
FL_Test | INFO flwr 2024-03-16 23:52:19,120 | app.py:227 | app_fit: metrics_distributed_fit {'Accuracy': [(1, 0.0), (2, 0.0)], 'Precision': [(1, 0.0), (2, 0.0)], 'Recall': [(1, 0.0), (2, 0.0)], 'F1_Score': [(1, 0.0), (2, 0.0)]}
FL_Test | INFO flwr 2024-03-16 23:52:19,120 | app.py:228 | app_fit: metrics_distributed {'Accuracy': [(1, 0.946814), (2, 0.950054)], 'Precision': [(1, 0.976165), (2, 0.975996)], 'Recall': [(1, 0.946814), (2, 0.950054)], 'F1_Score': [(1, 0.956575), (2, 0.95869)]}
FL_Test | INFO flwr 2024-03-16 23:52:19,120 | app.py:229 | app_fit: losses_centralized []
FL_Test | INFO flwr 2024-03-16 23:52:19,120 | app.py:230 | app_fit: metrics_centralized {}
FL_Test | INFO flwr 2024-03-17 00:17:17,059 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
FL_Test | INFO flwr 2024-03-17 00:17:17,075 | app.py:176 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
FL_Test | INFO flwr 2024-03-17 00:17:17,075 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-03-17 00:17:17,075 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-03-17 00:25:09,769 | server.py:280 | Received initial parameters from one random client
FL_Test | INFO flwr 2024-03-17 00:25:09,771 | server.py:91 | Evaluating initial parameters
FL_Test | INFO flwr 2024-03-17 00:25:09,776 | server.py:104 | FL starting
FL_Test | DEBUG flwr 2024-03-17 00:25:37,411 | server.py:222 | fit_round 1: strategy sampled 24 clients (out of 24)
FL_Test | DEBUG flwr 2024-03-17 00:25:37,843 | server.py:236 | fit_round 1 received 24 results and 0 failures
FL_Test | DEBUG flwr 2024-03-17 00:25:37,846 | server.py:173 | evaluate_round 1: strategy sampled 24 clients (out of 24)
FL_Test | DEBUG flwr 2024-03-17 00:25:37,891 | server.py:187 | evaluate_round 1 received 24 results and 0 failures
FL_Test | DEBUG flwr 2024-03-17 00:25:37,891 | server.py:222 | fit_round 2: strategy sampled 24 clients (out of 24)
FL_Test | DEBUG flwr 2024-03-17 00:25:37,922 | server.py:236 | fit_round 2 received 0 results and 24 failures
FL_Test | INFO flwr 2024-03-17 00:32:42,297 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
FL_Test | INFO flwr 2024-03-17 00:32:42,306 | app.py:176 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
FL_Test | INFO flwr 2024-03-17 00:32:42,306 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-03-17 00:32:42,307 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-03-17 00:40:43,473 | server.py:280 | Received initial parameters from one random client
FL_Test | INFO flwr 2024-03-17 00:40:43,474 | server.py:91 | Evaluating initial parameters
FL_Test | INFO flwr 2024-03-17 00:40:43,483 | server.py:104 | FL starting
FL_Test | DEBUG flwr 2024-03-17 00:41:11,132 | server.py:222 | fit_round 1: strategy sampled 24 clients (out of 24)
FL_Test | DEBUG flwr 2024-03-17 00:41:11,595 | server.py:236 | fit_round 1 received 24 results and 0 failures
FL_Test | DEBUG flwr 2024-03-17 00:41:11,597 | server.py:173 | evaluate_round 1: strategy sampled 24 clients (out of 24)
FL_Test | DEBUG flwr 2024-03-17 00:41:11,634 | server.py:187 | evaluate_round 1 received 24 results and 0 failures
FL_Test | DEBUG flwr 2024-03-17 00:41:11,636 | server.py:222 | fit_round 2: strategy sampled 24 clients (out of 24)
FL_Test | DEBUG flwr 2024-03-17 00:41:12,072 | server.py:236 | fit_round 2 received 24 results and 0 failures
FL_Test | DEBUG flwr 2024-03-17 00:41:12,074 | server.py:173 | evaluate_round 2: strategy sampled 24 clients (out of 24)
FL_Test | DEBUG flwr 2024-03-17 00:41:12,111 | server.py:187 | evaluate_round 2 received 24 results and 0 failures
FL_Test | DEBUG flwr 2024-03-17 00:41:12,115 | server.py:222 | fit_round 3: strategy sampled 24 clients (out of 24)
FL_Test | DEBUG flwr 2024-03-17 00:41:12,548 | server.py:236 | fit_round 3 received 24 results and 0 failures
FL_Test | DEBUG flwr 2024-03-17 00:41:12,550 | server.py:173 | evaluate_round 3: strategy sampled 24 clients (out of 24)
FL_Test | DEBUG flwr 2024-03-17 00:41:12,589 | server.py:187 | evaluate_round 3 received 24 results and 0 failures
FL_Test | DEBUG flwr 2024-03-17 00:41:12,593 | server.py:222 | fit_round 4: strategy sampled 24 clients (out of 24)
FL_Test | DEBUG flwr 2024-03-17 00:41:12,619 | server.py:236 | fit_round 4 received 0 results and 24 failures
FL_Test | INFO flwr 2024-03-17 00:47:08,835 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
FL_Test | INFO flwr 2024-03-17 00:47:08,887 | app.py:176 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
FL_Test | INFO flwr 2024-03-17 00:47:08,887 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-03-17 00:47:08,887 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-03-17 00:55:16,458 | server.py:280 | Received initial parameters from one random client
FL_Test | INFO flwr 2024-03-17 00:55:16,461 | server.py:91 | Evaluating initial parameters
FL_Test | INFO flwr 2024-03-17 00:55:16,475 | server.py:104 | FL starting
FL_Test | DEBUG flwr 2024-03-17 00:55:31,027 | server.py:222 | fit_round 1: strategy sampled 24 clients (out of 24)
FL_Test | DEBUG flwr 2024-03-17 00:55:31,444 | server.py:236 | fit_round 1 received 24 results and 0 failures
FL_Test | DEBUG flwr 2024-03-17 00:55:31,448 | server.py:173 | evaluate_round 1: strategy sampled 24 clients (out of 24)
FL_Test | DEBUG flwr 2024-03-17 00:55:31,486 | server.py:187 | evaluate_round 1 received 24 results and 0 failures
FL_Test | DEBUG flwr 2024-03-17 00:55:31,490 | server.py:222 | fit_round 2: strategy sampled 24 clients (out of 24)
FL_Test | DEBUG flwr 2024-03-17 00:55:31,891 | server.py:236 | fit_round 2 received 24 results and 0 failures
FL_Test | DEBUG flwr 2024-03-17 00:55:31,894 | server.py:173 | evaluate_round 2: strategy sampled 24 clients (out of 24)
FL_Test | DEBUG flwr 2024-03-17 00:55:31,932 | server.py:187 | evaluate_round 2 received 24 results and 0 failures
FL_Test | DEBUG flwr 2024-03-17 00:55:31,933 | server.py:222 | fit_round 3: strategy sampled 24 clients (out of 24)
FL_Test | DEBUG flwr 2024-03-17 00:55:31,957 | server.py:236 | fit_round 3 received 0 results and 24 failures
FL_Test | INFO flwr 2024-03-17 01:00:24,150 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2024-03-17 01:00:24,186 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2024-03-17 01:00:24,186 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-03-17 01:00:24,186 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-03-17 01:08:18,783 | server.py:280 | Received initial parameters from one random client
FL_Test | INFO flwr 2024-03-17 01:08:18,793 | server.py:91 | Evaluating initial parameters
FL_Test | INFO flwr 2024-03-17 01:08:18,804 | server.py:104 | FL starting
FL_Test | DEBUG flwr 2024-03-17 01:08:58,343 | server.py:222 | fit_round 1: strategy sampled 24 clients (out of 24)
FL_Test | DEBUG flwr 2024-03-17 01:08:58,758 | server.py:236 | fit_round 1 received 24 results and 0 failures
FL_Test | DEBUG flwr 2024-03-17 01:08:58,760 | server.py:173 | evaluate_round 1: strategy sampled 24 clients (out of 24)
FL_Test | DEBUG flwr 2024-03-17 01:08:58,803 | server.py:187 | evaluate_round 1 received 24 results and 0 failures
FL_Test | DEBUG flwr 2024-03-17 01:08:58,805 | server.py:222 | fit_round 2: strategy sampled 24 clients (out of 24)
FL_Test | DEBUG flwr 2024-03-17 01:08:59,230 | server.py:236 | fit_round 2 received 24 results and 0 failures
FL_Test | DEBUG flwr 2024-03-17 01:08:59,235 | server.py:173 | evaluate_round 2: strategy sampled 24 clients (out of 24)
FL_Test | DEBUG flwr 2024-03-17 01:08:59,278 | server.py:187 | evaluate_round 2 received 24 results and 0 failures
FL_Test | INFO flwr 2024-03-17 01:08:59,279 | server.py:153 | FL finished in 40.46535959991161
FL_Test | INFO flwr 2024-03-17 01:08:59,279 | app.py:226 | app_fit: losses_distributed [(1, 2.654943344493707), (2, 2.8025302638610206)]
FL_Test | INFO flwr 2024-03-17 01:08:59,280 | app.py:227 | app_fit: metrics_distributed_fit {'Accuracy': [(1, 0.0), (2, 0.0)], 'Precision': [(1, 0.0), (2, 0.0)], 'Recall': [(1, 0.0), (2, 0.0)], 'F1_Score': [(1, 0.0), (2, 0.0)]}
FL_Test | INFO flwr 2024-03-17 01:08:59,280 | app.py:228 | app_fit: metrics_distributed {'Accuracy': [(1, 0.926341), (2, 0.922246)], 'Precision': [(1, 0.97334), (2, 0.973121)], 'Recall': [(1, 0.926341), (2, 0.922246)], 'F1_Score': [(1, 0.942948), (2, 0.940233)]}
FL_Test | INFO flwr 2024-03-17 01:08:59,280 | app.py:229 | app_fit: losses_centralized []
FL_Test | INFO flwr 2024-03-17 01:08:59,280 | app.py:230 | app_fit: metrics_centralized {}
FL_Test | INFO flwr 2024-03-17 19:36:00,718 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2024-03-17 19:36:00,743 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2024-03-17 19:36:00,743 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-03-17 19:36:00,743 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-03-17 19:43:06,984 | server.py:280 | Received initial parameters from one random client
FL_Test | INFO flwr 2024-03-17 19:43:06,990 | server.py:91 | Evaluating initial parameters
FL_Test | INFO flwr 2024-03-17 19:43:06,992 | server.py:104 | FL starting
FL_Test | DEBUG flwr 2024-03-17 19:44:06,638 | server.py:222 | fit_round 1: strategy sampled 24 clients (out of 24)
FL_Test | DEBUG flwr 2024-03-17 19:44:07,057 | server.py:236 | fit_round 1 received 24 results and 0 failures
FL_Test | DEBUG flwr 2024-03-17 19:44:07,060 | server.py:173 | evaluate_round 1: strategy sampled 24 clients (out of 24)
FL_Test | DEBUG flwr 2024-03-17 19:44:07,114 | server.py:187 | evaluate_round 1 received 0 results and 24 failures
FL_Test | INFO flwr 2024-03-17 20:49:42,107 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2024-03-17 20:49:42,132 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2024-03-17 20:49:42,132 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-03-17 20:49:42,132 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-03-17 20:57:35,301 | server.py:280 | Received initial parameters from one random client
FL_Test | INFO flwr 2024-03-17 20:57:35,302 | server.py:91 | Evaluating initial parameters
FL_Test | INFO flwr 2024-03-17 20:57:35,302 | server.py:104 | FL starting
FL_Test | DEBUG flwr 2024-03-17 20:58:11,803 | server.py:222 | fit_round 1: strategy sampled 24 clients (out of 24)
FL_Test | DEBUG flwr 2024-03-17 20:58:12,267 | server.py:236 | fit_round 1 received 24 results and 0 failures
FL_Test | DEBUG flwr 2024-03-17 20:58:12,271 | server.py:173 | evaluate_round 1: strategy sampled 24 clients (out of 24)
FL_Test | DEBUG flwr 2024-03-17 20:58:12,317 | server.py:187 | evaluate_round 1 received 24 results and 0 failures
FL_Test | DEBUG flwr 2024-03-17 20:58:12,318 | server.py:222 | fit_round 2: strategy sampled 24 clients (out of 24)
FL_Test | DEBUG flwr 2024-03-17 20:58:12,749 | server.py:236 | fit_round 2 received 24 results and 0 failures
FL_Test | DEBUG flwr 2024-03-17 20:58:12,751 | server.py:173 | evaluate_round 2: strategy sampled 24 clients (out of 24)
FL_Test | DEBUG flwr 2024-03-17 20:58:12,790 | server.py:187 | evaluate_round 2 received 24 results and 0 failures
FL_Test | INFO flwr 2024-03-17 20:58:12,791 | server.py:153 | FL finished in 37.48930700006895
FL_Test | INFO flwr 2024-03-17 20:58:12,791 | app.py:226 | app_fit: losses_distributed [(1, 2.7246822031835713), (2, 2.8495635225748024)]
FL_Test | INFO flwr 2024-03-17 20:58:12,791 | app.py:227 | app_fit: metrics_distributed_fit {'Accuracy': [(1, 0.0), (2, 0.0)], 'Precision': [(1, 0.0), (2, 0.0)], 'Recall': [(1, 0.0), (2, 0.0)], 'F1_Score': [(1, 0.0), (2, 0.0)]}
FL_Test | INFO flwr 2024-03-17 20:58:12,791 | app.py:228 | app_fit: metrics_distributed {'Accuracy': [(1, 0.924406), (2, 0.920941)], 'Precision': [(1, 0.973283), (2, 0.973015)], 'Recall': [(1, 0.924406), (2, 0.920941)], 'F1_Score': [(1, 0.941688), (2, 0.939425)]}
FL_Test | INFO flwr 2024-03-17 20:58:12,792 | app.py:229 | app_fit: losses_centralized []
FL_Test | INFO flwr 2024-03-17 20:58:12,792 | app.py:230 | app_fit: metrics_centralized {}
FL_Test | INFO flwr 2024-03-17 22:28:12,221 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2024-03-17 22:28:12,303 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2024-03-17 22:28:12,312 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-03-17 22:28:12,316 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-03-17 22:35:57,089 | server.py:280 | Received initial parameters from one random client
FL_Test | INFO flwr 2024-03-17 22:35:57,097 | server.py:91 | Evaluating initial parameters
FL_Test | INFO flwr 2024-03-17 22:35:57,113 | server.py:104 | FL starting
FL_Test | DEBUG flwr 2024-03-17 22:36:41,535 | server.py:222 | fit_round 1: strategy sampled 24 clients (out of 24)
FL_Test | DEBUG flwr 2024-03-17 22:36:53,323 | server.py:236 | fit_round 1 received 24 results and 0 failures
FL_Test | DEBUG flwr 2024-03-17 22:36:53,325 | server.py:173 | evaluate_round 1: strategy sampled 24 clients (out of 24)
FL_Test | DEBUG flwr 2024-03-17 22:36:53,378 | server.py:187 | evaluate_round 1 received 24 results and 0 failures
FL_Test | DEBUG flwr 2024-03-17 22:36:53,379 | server.py:222 | fit_round 2: strategy sampled 24 clients (out of 24)
FL_Test | DEBUG flwr 2024-03-17 22:36:53,403 | server.py:236 | fit_round 2 received 0 results and 24 failures
